Date,Open,High,Low,Close,Adj Close,Volume
2016-12-09,801.809998,805.669983,798.260010,800.169983,800.169983,0
2016-12-12,799.299988,799.299988,789.650024,791.609985,791.609985,0
2016-12-13,792.030029,797.489990,790.659973,792.380005,792.380005,0
2016-12-14,791.590027,793.669983,781.880005,783.109985,783.109985,0
2016-12-15,783.239990,794.059998,782.840027,789.059998,789.059998,0
2016-12-16,790.070007,796.299988,787.030029,788.309998,788.309998,0
2016-12-19,788.809998,795.210022,788.809998,791.409973,791.409973,0
2016-12-20,791.429993,797.979980,791.429993,796.659973,796.659973,0
2016-12-21,796.590027,797.280029,791.440002,791.440002,791.440002,0
2016-12-22,791.369995,791.369995,781.859985,782.440002,782.440002,0
2016-12-23,782.349976,789.630005,782.270020,789.630005,789.630005,0
2016-12-27,789.989990,796.419983,789.989990,793.210022,793.210022,0
2016-12-28,793.679993,794.299988,781.650024,782.390015,782.390015,0
2016-12-29,782.840027,786.450012,781.039978,784.250000,784.250000,0
2016-12-30,784.950012,785.450012,778.539978,780.710022,780.710022,0
2017-01-03,783.469971,790.510010,779.150024,784.849976,784.849976,0
2017-01-04,785.979980,799.210022,785.979980,798.760010,798.760010,0
2017-01-05,798.289978,798.289978,788.210022,791.960022,791.960022,0
2017-01-06,792.890015,793.960022,789.440002,789.729980,789.729980,0
2017-01-09,789.830017,792.210022,786.679993,788.729980,788.729980,0
2017-01-10,789.070007,795.789978,788.530029,795.320007,795.320007,0
2017-01-11,795.390015,797.969971,790.250000,795.289978,795.289978,0
2017-01-12,794.039978,794.039978,781.510010,790.989990,790.989990,0
2017-01-13,792.190002,800.659973,792.190002,798.320007,798.320007,0
2017-01-17,797.419983,797.419983,785.380005,786.270020,786.270020,0
2017-01-18,786.909973,789.950012,785.580017,789.789978,789.789978,0
2017-01-19,789.900024,791.150024,780.460022,782.099976,782.099976,0
2017-01-20,782.570007,786.979980,782.570007,785.049988,785.049988,0
2017-01-23,784.400024,786.390015,779.169983,782.500000,782.500000,0
2017-01-24,782.809998,795.039978,782.809998,794.159973,794.159973,0
2017-01-25,797.179993,802.400024,797.179993,801.900024,801.900024,0
2017-01-26,801.950012,802.570007,795.940002,796.510010,796.510010,0
2017-01-27,796.590027,796.979980,792.010010,794.960022,794.960022,0
2017-01-30,792.640015,792.640015,779.619995,785.989990,785.989990,0
2017-01-31,784.690002,794.239990,783.059998,793.159973,793.159973,0
2017-02-01,794.520020,799.219971,790.580017,793.080017,793.080017,0
2017-02-02,791.609985,794.590027,788.690002,790.669983,790.669983,0
2017-02-03,792.000000,801.880005,792.000000,801.830017,801.830017,0
2017-02-06,801.049988,801.049988,793.940002,795.739990,795.739990,0
2017-02-07,795.900024,798.969971,791.440002,793.570007,793.570007,0
2017-02-08,792.460022,794.539978,787.580017,793.919983,793.919983,0
2017-02-09,793.969971,807.130005,793.969971,806.280029,806.280029,0
2017-02-10,808.609985,813.580017,807.210022,811.630005,811.630005,0
2017-02-13,813.530029,816.869995,811.080017,812.270020,812.270020,0
2017-02-14,811.489990,814.229980,808.909973,814.000000,814.000000,0
2017-02-15,812.760010,820.669983,811.559998,820.159973,820.159973,0
2017-02-16,819.770020,820.489990,812.090027,816.590027,816.590027,0
2017-02-17,816.960022,818.869995,814.059998,818.869995,818.869995,0
2017-02-21,819.559998,824.760010,819.559998,824.289978,824.289978,0
2017-02-22,823.409973,823.409973,818.500000,819.820007,819.820007,0
2017-02-23,820.510010,821.119995,808.000000,812.830017,812.830017,0
